Jugador,Campeon,FechaCreacionPartida,ID,Ganada,TiempoJugado,OroNeto,KDA,CS,DanoTotalCampeones,GuardianesColocados,GuardianesEliminados,ObjetivosTorres,ObjetivosDragones,NivelRecompensa,TiempoMaximoVivo,DanoTotalInfligidoCampeones,Item0,Item1,Item2,Item3,Item4,Item5,Item6,Max CS Advantage on Lane Opponent,Control Wards Placed,Damage per Minute,Damage Taken on Team Percentage,Gold per Minute,Max Level Lead on Lane Opponent,Solo Kills,Solo Turrets Late Game
Furulango,Lissandra,1702752503951,1468014597,True,29.733333333333334,1772,10/6/16,185,37999,13,1,1,0,1,14.1,37999,Control Ward,Luden's Tempest,Zhonya's Hourglass,Shadowflame,Blighting Jewel,Sorcerer's Shoes,Stealth Ward,87.59999999403954,4,1277.1937482400588,0.16333776352437063,455.3269663939788,3,1,0
Furulango,Hwei,1702754823840,1468024887,False,30.45,472,6/7/5,185,26096,10,2,1,0,0,8.716666666666667,26096,Horizon Focus,Luden's Tempest,Rabadon's Deathcap,Control Ward,Sorcerer's Shoes,Objeto desconocido,Farsight Alteration,71.99999997019768,2,856.5398837581174,0.1346270871447309,383.11652833217613,2,1,0
Furulango,Hwei,1702757432711,1468038649,False,41.916666666666664,644,6/12/16,180,44391,21,0,1,0,0,9.8,44391,Sorcerer's Shoes,Luden's Tempest,Needlessly Large Rod,Banshee's Veil,Objeto desconocido,Horizon Focus,Stealth Ward,40.0,5,1058.8886613377267,0.16209380915484795,314.3757902806789,2,3,0
Furulango,Xerath,1702765210964,1468082447,False,42.15,1435,9/7/17,155,40600,44,2,1,0,0,8.916666666666666,40600,Shard of True Ice,Liandry's Anguish,Rabadon's Deathcap,Shadowflame,Sorcerer's Shoes,Horizon Focus,Oracle Lens,88.60000005364418,3,962.9649087091678,0.1373295953818562,365.7417746224451,3,1,0
Furulango,Sylas,1702771086480,1468120216,True,42.93333333333333,2172,7/13/11,179,31607,16,1,0,0,1,7.666666666666667,31607,Objeto desconocido,Sorcerer's Shoes,Luden's Tempest,Shadowflame,Void Staff,Needlessly Large Rod,Stealth Ward,5.0,3,735.9747792231201,0.23977486768356068,322.5414189949402,1,1,0
Furulango,Jinx,1702775235278,1468142635,False,31.383333333333333,-838,13/4/4,208,27373,14,8,0,0,0,13.716666666666667,27373,Kraken Slayer,Objeto desconocido,Infinity Edge,Chain Vest,Berserker's Greaves,Rapid Firecannon,Farsight Alteration,52.00000002980232,5,871.7510158412122,0.12305833788971864,440.681080243479,2,2,0
Furulango,Sylas,1702777630234,1468160366,True,21.75,1367,5/3/5,123,14470,9,1,0,0,0,9.366666666666667,14470,Doran's Ring,Zhonya's Hourglass,Objeto desconocido,Luden's Tempest,Sorcerer's Shoes,Ruby Crystal,Stealth Ward,12.0,2,665.1853183471733,0.1984455152063463,409.90981645161537,1,2,0
Furulango,Zac,1702779454277,1468174400,False,28.4,963,3/6/8,94,13284,11,0,0,0,0,10.433333333333334,13284,Radiant Virtue,Plated Steelcaps,Bramble Vest,Mosstomper Seedling,Objeto desconocido,Sunfire Aegis,Stealth Ward,0.0,3,467.4385397194491,0.27125930530620485,298.6944449797014,0,1,0
Furulango,Sylas,1702790567313,1468260193,False,27.0,1152,5/8/9,150,12803,6,1,0,0,0,8.916666666666666,12803,Luden's Tempest,Shadowflame,Seeker's Armguard,Doran's Ring,Sorcerer's Shoes,Fiendish Codex,Oracle Lens,9.800000011920929,2,474.0452614750914,0.22336934667183972,377.7455658679316,1,1,0
Furulango,Irelia,1702792574788,1468271764,False,28.416666666666668,587,5/7/3,198,14835,9,0,1,0,0,16.65,14835,Blade of The Ruined King,Quicksilver Sash,Wit's End,Aegis of the Legion,Mercury's Treads,Doran's Shield,Stealth Ward,17.0,1,521.9234151757367,0.17948024140355368,383.9199685523006,1,2,0
